ID,Easting,Northing,Elevation
450151205,583423.0,4857336.0,343.0
450151211,583947.0,4859319.0,317.0
450151218,582677.0,4861338.0,208.0
450151222,585427.0,4861069.0,324.0
450151230,585424.0,4860574.0,371.0
450151240,583685.0,4858834.0,303.0
450151242,582921.0,4858084.0,338.0
450151250,583926.0,4859081.0,322.0
450151259,586171.0,4860853.000000001,291.0
450151267,584423.0,4862575.0,192.0
450151280,584423.0,4862844.0,188.0
450151353,585936.0,4861095.0,323.0
450151361,582422.0,4858606.0,403.0
450151466,583675.0,4859086.0,277.0
450151469,584192.0,4861814.0,243.0
450151474,584178.0,4859331.0,357.0
450151476,583926.0,4860082.0,386.0
450151480,583926.0,4857333.000000001,426.0
450151484,583176.0,4859833.0,304.0
450151487,584919.0,4861076.0,318.0
450151488,587145.0,4860346.0,252.0
450151489,582426.0,4857580.0,370.0
450151497,583934.0,4861326.0,278.0
450151498,585411.0,4860861.0,354.0
450151502,583431.0,4862089.0,199.0
450151503,582498.0,4859383.0,350.0
450151506,584438.0,4860822.0,373.0
450151510,583423.0,4858330.0,314.0
450151511,587678.0,4859577.0,320.0
450151517,583983.0,4862125.0,202.0
450151519,584426.0,4858078.0,393.0
450151548,583663.0,4862844.0,194.0
450151615,584177.0,4860082.0,421.0
450151755,587175.0,4860815.0,270.0
450151783,584423.0,4862055.0,229.0
450151784,586673.0,4859862.0,304.0
450151785,583426.0,4860082.0,239.0
450151790,583902.0,4861575.0,246.0
450151799,584676.0,4860831.0,363.0
450151812,583924.0,4860584.0,304.0
450151818,584175.0,4857831.0,339.0
450151832,582689.0,4857845.000000001,349.0
450151836,584422.0,4861581.0,285.0
450151846,583172.0,4858836.0,335.0
450151849,582451.0,4860109.0,310.0
450151891,584175.0,4857580.0,362.0
450151906,582927.0,4860583.0,263.0
450151910,584410.0,4860079.0,461.0
450151915,583427.0,4857834.999999999,373.0
450151919,586937.0,4860836.0,282.0
450151922,585428.0,4858830.0,401.0
450151925,584684.0,4861832.0,253.0
450151929,583158.0,4861604.0,208.0
450151930,582930.0,4858821.0,373.0
450151931,585712.0,4859829.000000001,339.0
450151934,583171.0,4859355.0,294.0
450151938,585175.0,4860563.0,395.0
450151942,583104.0,4860634.0,244.0
450151943,584673.0,4858829.0,437.0
450151945,584925.0,4858333.0,430.0
450151950,584426.0,4857581.0,388.0
450151956,585166.0,4861828.0,253.0
450151961,586928.0,4859568.000000001,342.0
450151962,582675.0,4858361.0,366.0
450151974,584176.0,4858831.999999999,417.0
450151980,585920.0,4860333.0,306.0
450151981,587446.0,4861112.0,248.0
450151984,585176.0,4860080.000000001,381.0
450151990,586419.0,4860330.0,273.0
450151991,583425.0,4858586.0,302.0
450151997,584197.0,4857343.0,409.0
450152015,585127.0,4862564.0,199.0
450152022,583927.0,4859830.0,316.0
450152031,582923.0,4857826.0,388.0
450152032,584426.0,4857832.0,387.0
450152036,583175.0,4859580.0,304.0
450152062,583926.0,4859581.0,296.0
450152070,582926.0,4860332.0,307.0
450152071,583178.0,4857586.0,387.0
450152072,585612.0,4860589.0,344.0
450152075,582935.0,4862841.0,197.0
450152076,585417.0,4859615.0,342.0
450152094,583675.0,4860081.0,294.0
450152102,586424.0,4860080.000000001,277.0
450152108,583411.0,4860854.0,225.0
450152109,583927.0,4857581.0,390.0
450152117,586918.0,4860586.0,282.0
450152127,584933.0,4857833.0,435.0
450152132,583674.0,4859331.0,265.0
450152136,587577.0,4860607.0,268.0
450152149,582761.0,4861792.0,199.0
450152150,584425.0,4858584.0,420.0
450152153,584936.0,4857316.0,409.0
450152155,583676.0,4858331.0,296.0
450152161,582933.0,4861578.999999999,200.0
450152163,587398.0,4860842.0,234.0
450152165,584905.0,4862877.0,189.0
450152166,583675.0,4858582.0,309.0
450152168,586178.0,4859834.0,289.0
450152169,583500.0,4859379.0,267.0
450152171,582422.0,4858840.0,389.0
450152181,583421.0,4861327.999999999,220.0
450152182,587176.0,4860579.0,283.0
450152185,583924.0,4858825.0,354.0
450152188,587693.0,4860849.0,247.0
450152197,584679.0,4859333.0,403.0
450152209,584744.0,4860566.0,390.0
450152226,586401.0,4861066.999999999,306.0
450152231,582686.0,4862582.0,197.0
450152235,586177.0,4860106.999999999,297.0
450152247,584125.0,4862121.0,215.0
450152251,583427.0,4857583.0,344.0
450152253,584684.0,4859578.0,394.0
450152257,584177.0,4859583.0,360.0
450152265,587422.0,4860367.999999999,246.0
450152266,582675.0,4858836.0,389.0
450152267,584438.0,4862338.0,200.0
450152274,582916.0,4860044.0,326.0
450152350,584890.0,4862573.0,194.0
450152358,583431.0,4862309.0,195.0
450152362,584922.0,4858084.0,431.0
450152366,588154.0,4859814.0,248.0
450152368,582517.0,4862339.0,194.0
450152371,584678.0,4860330.0,466.0
450152374,584242.0,4861571.0,289.0
450152378,582697.0,4858061.0,346.0
450152380,582426.0,4857330.0,391.0
450152398,582925.0,4858582.0,366.0
450152400,584427.0,4861818.0,258.0
450152402,582926.0,4857580.0,423.0
450152410,585871.0,4860826.0,312.0
450152414,585428.0,4858330.0,396.0
450152416,585403.0,4857587.0,368.0
450152418,584675.0,4857580.0,422.0
450152419,588171.0,4859578.0,263.0
450152421,586679.0,4860310.0,268.0
450152425,583667.0,4860590.0,263.0
450152434,582685.0,4862105.0,197.0
450152436,584900.0,4861601.0,291.0
450152438,582422.0,4860565.000000001,252.0
450152440,583671.0,4858095.0,301.0
450152441,582931.0,4859331.0,302.0
450152452,582675.0,4860564.0,263.0
450152453,586417.0,4859588.0,307.0
450152454,583927.0,4858583.0,338.0
450152460,586946.0,4860066.0,283.0
450152461,585170.0,4859349.000000001,415.0
450152465,582742.0,4861590.0,198.0
450152478,583676.0,4857333.000000001,385.0
450152482,586688.0,4860093.0,282.0
450152483,585185.0,4860345.0,407.0
450152490,584968.0,4862065.0,265.0
450152495,587675.0,4860323.0,246.0
450152497,585435.0,4859847.0,371.0
450152504,582947.0,4857300.0,427.0
450152511,587418.0,4859808.0,308.0
450152513,584427.0,4860579.0,408.0
450152516,583176.0,4861053.0,229.0
450152525,584676.0,4858331.0,402.0
450152532,583915.0,4857843.0,344.0
450152541,583176.0,4860081.0,300.0
450152542,584195.0,4862321.0,194.0
450152547,582646.0,4862810.0,198.0
450152548,584430.0,4860332.0,431.0
450152553,583674.0,4860325.0,308.0
450152557,583430.0,4860328.0,234.0
450152558,584676.0,4859080.0,445.0
450152577,583176.0,4858586.0,330.0
450152580,583412.0,4859106.0,285.0
450152586,584178.0,4860828.0,356.0
450152594,583677.0,4859580.0,283.0
450152595,584677.0,4858083.0,446.0
450152611,582483.0,4861548.0,197.0
450152615,584449.0,4861357.0,304.0
450152616,582674.0,4860079.0,319.0
450152617,585188.0,4859080.0,394.0
450152625,582919.0,4862317.0,197.0
450152638,582925.0,4858336.0,332.0
450152645,587915.0,4860307.0,266.0
450152657,583181.0,4862881.0,195.0
450152659,583423.0,4861582.0,212.0
450152663,585162.0,4862329.0,236.0
450152816,583666.0,4861593.0,241.0
450152820,582653.0,4859077.0,349.0
450152822,583697.0,4861337.0,259.0
450152825,582678.0,4861090.0,222.0
450152828,584426.0,4859831.0,447.0
450152830,585670.0,4859584.0,325.0
450152837,583425.0,4858830.0,290.0
450152844,582461.0,4862117.0,195.0
450152845,587186.0,4861083.0,235.0
450152887,583137.0,4857824.0,404.0
450152891,584672.0,4857327.0,435.0
450152893,584175.0,4858331.0,385.0
450152897,584926.0,4859835.0,423.0
450152908,586187.0,4860351.0,286.0
450152914,583424.0,4859836.0,246.0
450152916,585423.0,4860068.0,359.0
450152918,583665.0,4862099.0,198.0
450152921,582433.0,4860316.0,275.0
450152924,583926.0,4860830.0,318.0
450152950,584923.0,4859334.0,437.0
450152956,584636.0,4862510.0,198.0
450152961,585425.0,4859330.0,394.0
450152967,582876.0,4860838.0,248.0
450152983,583111.0,4862098.0,198.0
450152987,584190.0,4862596.0,192.0
450152993,582899.0,4859118.0,340.0
450153029,586338.0,4860578.0,294.0
450153031,584426.0,4858828.0,417.0
450153047,585169.0,4857280.0,430.0
450153093,583675.0,4860830.0,286.0
450153132,585651.0,4861058.0,333.0
450153134,585166.0,4861318.0,292.0
450153145,586928.0,4860357.0,256.0
450153157,582396.0,4861767.0,196.0
450153158,585154.0,4862103.0,262.0
